Дата,Препарат,Город,Аптек,Мин. цена (тг),Средняя цена (тг),Макс. цена (тг),Медиана цены (тг),Чаще всего продают по (тг)
2026-05-10,Урсодекс капсулы 250 мг №10,Almaty,,,,,,
2026-05-10,Урсодекс капсулы 250 мг №50,Almaty,177.0,5650.0,7175.0,8700.0,7175.0,7065.0
2026-05-10,Урсодекс капсулы 250 мг №100,Almaty,198.0,1510.0,8730.0,15950.0,8730.0,13225.0
2026-05-10,Урсофальк капсулы 250 мг №50,Almaty,203.0,9932.0,30841.0,51750.0,30841.0,10640.0
2026-05-10,АЦЦ таблетки шипучие 600 мг №10,Almaty,203.0,4171.0,5451.0,6730.0,5450.5,4670.0
2026-05-10,АЦЦ таблетки шипучие 600 мг №20,Almaty,211.0,370.0,5170.0,9970.0,5170.0,8905.0
2026-05-10,Флуимуцил таблетки шипучие 600 мг №10,Almaty,115.0,2960.0,16430.0,29900.0,16430.0,4565.0
2026-05-10,Флуимуцил таблетки шипучие 600 мг №20,Almaty,,,,,,
2026-05-10,Асиброкс таблетки шипучие 600 мг №10,Almaty,81.0,3335.0,16618.0,29900.0,16617.5,4680.0
2026-05-10,Зентусс таблетки шипучие 600 мг №10,Almaty,86.0,260.0,2268.0,4275.0,2267.5,260.0
2026-05-10,Ацетилцистеин-Тева табл. шип. 600 мг №20,Almaty,20.0,6057.0,6629.0,7200.0,6628.5,6057.0
2026-05-10,АЦЦ порошок 200 мг №50,Almaty,187.0,128.0,5064.0,10000.0,5064.0,6155.0
2026-05-10,Ацемед порошок 200 мг №10,Almaty,5.0,1170.0,1220.0,1270.0,1220.0,1170.0
2026-05-10,Флуимуцил гранулы 200 мг №20,Almaty,3.0,2220.0,3100.0,3980.0,3100.0,3800.0
2026-05-10,Ацетилцистеин Вива фарм порошок 200 мг №20,Almaty,82.0,2335.0,2735.0,3135.0,2735.0,2605.0
2026-05-10,Ацетилцистеин-Тева гранулы 200 мг №20,Almaty,39.0,249.0,1556.0,2862.0,1555.5,2415.0
2026-05-10,Ацетилцистеин-Тева гранулы 200 мг №50,Almaty,72.0,444.0,2420.0,4395.0,2419.5,3880.0
2026-05-10,АЦЦ Актив порошок 600 мг №10,Almaty,54.0,3900.0,4700.0,5500.0,4700.0,5300.0
2026-05-10,АЦЦ Хот Дринк порошок 600 мг №6,Almaty,158.0,2400.0,3275.0,4150.0,3275.0,3300.0
2026-05-10,Ацемед порошок 600 мг №10,Almaty,5.0,2372.0,2464.0,2555.0,2463.5,2430.0
2026-05-10,Трактус порошок 600 мг №10,Almaty,,,,,,
2026-05-10,Ацетилцистеин Вива фарм порошок 600 мг №10,Almaty,,,,,,
2026-05-10,Ксарелто таблетки 10 мг №30,Almaty,202.0,18000.0,23940.0,29880.0,23940.0,23220.0
2026-05-10,Ксарелто таблетки 15 мг №28,Almaty,190.0,15795.0,22028.0,28260.0,22027.5,18300.0
2026-05-10,Ксарелто таблетки 20 мг №28,Almaty,193.0,17500.0,31750.0,46000.0,31750.0,18710.0
2026-05-10,"Ксарелто таблетки 2,5 мг №56",Almaty,162.0,19150.0,32575.0,46000.0,32575.0,20380.0
2026-05-10,Ривакса таблетки 10 мг №30,Almaty,16.0,6325.0,7018.0,7710.0,7017.5,7410.0
2026-05-10,Ривакса таблетки 15 мг №30,Almaty,34.0,6980.0,9080.0,11180.0,9080.0,7235.0
2026-05-10,Ривакса таблетки 20 мг №30,Almaty,51.0,7025.0,7843.0,8660.0,7842.5,7130.0
2026-05-10,Ривароксабан таблетки 10 мг №30,Almaty,86.0,12510.0,16315.0,20120.0,16315.0,14895.0
2026-05-10,Ривароксабан таблетки 15 мг №30,Almaty,14.0,13390.0,16480.0,19570.0,16480.0,19570.0
2026-05-10,Ривароксабан таблетки 20 мг №30,Almaty,100.0,12050.0,15575.0,19100.0,15575.0,12050.0
2026-05-10,Брилинта таблетки 90 мг №56,Almaty,177.0,21000.0,50750.0,80500.0,50750.0,25930.0
2026-05-10,Верошпирон таблетки 25 мг №20,Almaty,210.0,850.0,8188.0,15525.0,8187.5,1140.0
2026-05-10,Верошпирон капсулы 50 мг №30,Almaty,215.0,1920.0,15623.0,29325.0,15622.5,2170.0
2026-05-10,Верошпирон капсулы 100 мг №30,Almaty,222.0,2505.0,18790.0,35075.0,18790.0,3075.0
